MPG,CYL,DIS,HP,WGT,ACC,YR,ORG,NAME
29.8,4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback
31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626
37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback
32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla
46.6,4,86.0,65.0,2110.0,17.9,80,3,mazda glc
27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt
40.8,4,85.0,65.0,2110.0,19.2,80,3,datsun 210
44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel)
36.4,5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel)
30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d
44.6,4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl
40.9,4,85.0,,1835.0,17.3,80,2,renault lecar deluxe
33.8,4,97.0,67.0,2145.0,18.0,80,3,subaru dl
29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit
32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs
35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe
23.6,4,140.0,,2905.0,14.3,80,1,ford mustang cobra
32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord
27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant
26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark
25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant
39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet
39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ
35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300
32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru
37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg
37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel
34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4
34.7,4,105.0,63.0,2215.0,14.9,81,1,plymouth horizon 4
34.4,4,98.0,65.0,2045.0,16.2,81,1,ford escort 4w
29.9,4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h
33.0,4,105.0,74.0,2190.0,14.2,81,2,volkswagen jetta
34.5,4,100.0,,2320.0,15.8,81,2,renault 18i
33.7,4,107.0,75.0,2210.0,14.4,81,3,honda prelude
32.4,4,108.0,75.0,2350.0,16.8,81,3,toyota corolla
32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
31.6,4,120.0,74.0,2635.0,18.3,81,3,mazda 626
28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel
30.7,6,145.0,76.0,3160.0,19.6,81,2,volvo diesel
25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl
17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon
28.0,4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier
27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door
31.0,4,112.0,85.0,2575.0,16.2,82,1,pontiac j2000 se hatchback
29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se
27.0,4,151.0,90.0,2735.0,18.0,82,1,pontiac phoenix
24.0,4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura
23.0,4,151.0,,3035.0,20.5,82,1,amc concord dl
36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l
37.0,4,91.0,68.0,2025.0,18.2,82,3,mazda glc custom l
31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom
38.0,4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser
36.0,4,98.0,70.0,2125.0,17.3,82,1,mercury lynx l
36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe
36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord
34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla
38.0,4,91.0,67.0,1965.0,15.0,82,3,honda civic
32.0,4,91.0,67.0,1965.0,15.7,82,3,honda civic (auto)
38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx
25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited
38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92.0,2585.0,14.5,82,1,chrysler lebaron medallion
22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt
36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2
27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro
27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl
44.0,4,97.0,52.0,2130.0,24.6,82,2,vw pickup
32.0,4,135.0,84.0,2295.0,11.6,82,1,dodge rampage
28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger
31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10
